#  step      rmse_trn    rmse_e_trn    rmse_f_trn         lr
      0      9.72e+00      2.89e-01      3.07e-01    1.0e-03
    100      2.69e+00      1.01e-01      8.50e-02    1.0e-03
    200      3.66e+00      1.49e-01      1.16e-01    1.0e-03
    300      3.03e+00      2.35e-02      9.59e-02    1.0e-03
    400      2.39e+00      4.89e-02      7.54e-02    1.0e-03
    500      1.71e+00      6.30e-02      5.39e-02    1.0e-03
    600      3.57e+00      2.49e-02      1.13e-01    1.0e-03
    700      2.96e+00      7.75e-02      9.37e-02    1.0e-03
    800      3.80e+00      4.56e-02      1.20e-01    1.0e-03
    900      2.83e+00      6.27e-02      8.94e-02    1.0e-03
   1000      2.56e+00      3.25e-02      8.11e-02    1.0e-03
   1100      2.71e+00      6.49e-02      8.58e-02    1.0e-03
   1200      2.13e+00      6.03e-03      6.75e-02    1.0e-03
   1300      2.04e+00      1.89e-02      6.45e-02    1.0e-03
   1400      2.07e+00      1.46e-02      6.55e-02    1.0e-03
   1500      1.74e+00      4.28e-02      5.50e-02    1.0e-03
   1600      2.14e+00      2.11e-02      6.78e-02    1.0e-03
   1700      2.72e+00      4.16e-02      8.60e-02    1.0e-03
   1800      1.62e+00      2.24e-02      5.12e-02    1.0e-03
   1900      2.10e+00      2.04e-02      6.65e-02    1.0e-03
   2000      1.26e+00      5.93e-03      3.98e-02    1.0e-03
   2100      2.42e+00      1.83e-02      7.65e-02    1.0e-03
   2200      2.09e+00      2.81e-02      6.62e-02    1.0e-03
   2300      2.24e+00      6.94e-02      7.08e-02    1.0e-03
   2400      2.23e+00      6.34e-02      7.05e-02    1.0e-03
   2500      1.92e+00      2.25e-02      6.06e-02    1.0e-03
   2600      1.55e+00      2.31e-02      4.89e-02    1.0e-03
   2700      3.28e+00      9.22e-03      1.04e-01    1.0e-03
   2800      2.43e+00      6.07e-02      7.67e-02    1.0e-03
   2900      1.97e+00      1.88e-02      6.25e-02    1.0e-03
   3000      2.61e+00      9.20e-02      8.25e-02    1.0e-03
   3100      1.78e+00      2.24e-02      5.63e-02    1.0e-03
   3200      1.69e+00      5.75e-02      5.33e-02    1.0e-03
   3300      1.77e+00      1.36e-02      5.60e-02    1.0e-03
   3400      2.48e+00      1.63e-01      7.84e-02    1.0e-03
   3500      2.11e+00      1.18e-01      6.68e-02    1.0e-03
   3600      1.67e+00      4.86e-02      5.29e-02    1.0e-03
   3700      1.78e+00      6.42e-02      5.62e-02    1.0e-03
   3800      1.70e+00      3.22e-02      5.37e-02    1.0e-03
   3900      1.61e+00      5.91e-02      5.08e-02    1.0e-03
   4000      1.71e+00      4.01e-02      5.40e-02    1.0e-03
   4100      1.62e+00      4.27e-02      5.11e-02    1.0e-03
   4200      2.15e+00      2.02e-02      6.79e-02    1.0e-03
   4300      2.37e+00      5.91e-02      7.48e-02    1.0e-03
   4400      1.51e+00      5.07e-02      4.77e-02    1.0e-03
   4500      2.01e+00      6.08e-02      6.34e-02    1.0e-03
   4600      1.99e+00      2.22e-02      6.30e-02    1.0e-03
   4700      1.39e+00      4.33e-02      4.41e-02    1.0e-03
   4800      3.11e+00      2.69e-01      9.82e-02    1.0e-03
   4900      2.19e+00      3.13e-02      6.92e-02    1.0e-03
   5000      1.28e+00      5.37e-03      4.16e-02    9.4e-04
   5100      1.87e+00      2.78e-02      6.10e-02    9.4e-04
   5200      1.94e+00      1.33e-02      6.31e-02    9.4e-04
   5300      2.15e+00      3.35e-02      7.00e-02    9.4e-04
   5400      1.35e+00      7.37e-02      4.40e-02    9.4e-04
   5500      2.24e+00      1.30e-02      7.29e-02    9.4e-04
   5600      2.54e+00      2.44e-02      8.26e-02    9.4e-04
   5700      4.00e+00      6.66e-02      1.30e-01    9.4e-04
   5800      2.18e+00      3.07e-02      7.08e-02    9.4e-04
   5900      2.14e+00      1.44e-02      6.97e-02    9.4e-04
   6000      2.09e+00      3.06e-02      6.79e-02    9.4e-04
   6100      1.25e+00      4.70e-02      4.08e-02    9.4e-04
   6200      1.88e+00      1.39e-02      6.12e-02    9.4e-04
   6300      1.84e+00      2.57e-02      5.98e-02    9.4e-04
   6400      1.40e+00      2.18e-02      4.56e-02    9.4e-04
   6500      2.12e+00      8.26e-02      6.90e-02    9.4e-04
   6600      1.90e+00      4.10e-02      6.18e-02    9.4e-04
   6700      1.51e+00      1.92e-02      4.93e-02    9.4e-04
   6800      2.07e+00      8.28e-02      6.72e-02    9.4e-04
   6900      1.64e+00      2.56e-02      5.34e-02    9.4e-04
   7000      2.45e+00      3.42e-02      7.96e-02    9.4e-04
   7100      1.97e+00      2.70e-02      6.43e-02    9.4e-04
   7200      1.61e+00      2.27e-02      5.25e-02    9.4e-04
   7300      2.10e+00      1.12e-01      6.82e-02    9.4e-04
   7400      1.89e+00      4.21e-02      6.14e-02    9.4e-04
   7500      3.52e+00      1.27e-01      1.15e-01    9.4e-04
   7600      1.69e+00      3.21e-02      5.51e-02    9.4e-04
   7700      1.98e+00      6.28e-02      6.43e-02    9.4e-04
   7800      2.45e+00      5.31e-02      7.96e-02    9.4e-04
   7900      1.91e+00      1.61e-02      6.21e-02    9.4e-04
   8000      2.33e+00      5.21e-02      7.57e-02    9.4e-04
   8100      2.10e+00      1.93e-02      6.84e-02    9.4e-04
   8200      1.31e+00      6.75e-02      4.25e-02    9.4e-04
   8300      1.62e+00      2.06e-02      5.28e-02    9.4e-04
   8400      1.84e+00      2.25e-01      5.98e-02    9.4e-04
   8500      1.62e+00      1.24e-02      5.27e-02    9.4e-04
   8600      2.86e+00      6.64e-02      9.32e-02    9.4e-04
   8700      5.43e+00      9.55e-02      1.77e-01    9.4e-04
   8800      1.70e+00      5.78e-02      5.54e-02    9.4e-04
   8900      1.29e+00      5.31e-02      4.20e-02    9.4e-04
   9000      2.09e+00      2.86e-02      6.81e-02    9.4e-04
   9100      1.86e+00      4.99e-02      6.05e-02    9.4e-04
   9200      1.89e+00      3.37e-02      6.15e-02    9.4e-04
   9300      1.46e+00      1.44e-02      4.74e-02    9.4e-04
   9400      1.55e+00      5.29e-02      5.06e-02    9.4e-04
   9500      2.00e+00      8.21e-02      6.49e-02    9.4e-04
   9600      1.40e+00      1.21e-02      4.56e-02    9.4e-04
   9700      1.40e+00      2.56e-02      4.55e-02    9.4e-04
   9800      1.42e+00      1.61e-02      4.63e-02    9.4e-04
   9900      1.92e+00      1.95e-02      6.25e-02    9.4e-04
  10000      1.61e+00      8.27e-02      5.38e-02    8.9e-04
  10100      2.18e+00      3.29e-02      7.29e-02    8.9e-04
  10200      2.44e+00      2.16e-02      8.19e-02    8.9e-04
  10300      1.76e+00      2.43e-02      5.91e-02    8.9e-04
  10400      1.79e+00      3.56e-02      6.01e-02    8.9e-04
  10500      1.47e+00      6.54e-02      4.92e-02    8.9e-04
  10600      1.73e+00      7.56e-02      5.78e-02    8.9e-04
  10700      1.92e+00      2.27e-02      6.42e-02    8.9e-04
  10800      2.36e+00      3.69e-02      7.90e-02    8.9e-04
