#       step         max_devi_v         min_devi_v         avg_devi_v         max_devi_f         min_devi_f         avg_devi_f
           0       2.063275e-02       8.384529e-04       8.226278e-03       3.860068e-02       2.211242e-02       2.990925e-02
          10       1.678538e-02       2.261224e-03       9.620580e-03       5.054948e-02       1.520514e-02       2.886555e-02
          20       1.161204e-02       2.538293e-03       5.769032e-03       2.776957e-02       1.117280e-02       2.096506e-02
          30       7.773129e-03       8.840759e-04       4.747275e-03       2.230666e-02       1.240697e-02       1.694720e-02
          40       5.440482e-03       1.149127e-03       3.331327e-03       1.435334e-02       8.102482e-03       1.162580e-02
          50       8.902371e-03       3.354345e-03       5.423853e-03       1.980517e-02       5.229092e-03       1.093907e-02
          60       5.793738e-03       3.175346e-03       4.667072e-03       1.828705e-02       6.291608e-03       9.843074e-03
          70       7.047696e-03       3.346773e-03       4.966596e-03       1.943385e-02       6.518598e-03       1.117792e-02
          80       5.215552e-03       1.576821e-03       3.025896e-03       1.194797e-02       5.553843e-03       8.807105e-03
          90       7.295502e-03       2.071967e-03       3.860605e-03       1.477299e-02       5.377314e-03       1.021814e-02
         100       1.160512e-02       1.724174e-03       5.486673e-03       3.225688e-02       4.311522e-03       1.441732e-02
         110       6.977178e-03       2.392548e-03       4.048561e-03       2.437233e-02       9.820918e-03       1.791775e-02
         120       1.098728e-02       2.885828e-03       5.440152e-03       2.823577e-02       7.706507e-03       1.717623e-02
         130       9.215557e-03       2.088146e-03       5.264901e-03       2.884827e-02       1.393098e-02       2.329133e-02
         140       9.626677e-03       2.840461e-03       6.563945e-03       2.965405e-02       1.124607e-02       2.417261e-02
         150       8.196993e-03       2.131327e-03       6.054614e-03       2.794431e-02       1.733204e-02       2.199593e-02
         160       1.493709e-02       1.683490e-03       7.939078e-03       2.533547e-02       1.381736e-02       2.096650e-02
         170       1.438412e-02       2.449321e-03       8.299577e-03       3.213824e-02       1.364824e-02       2.414214e-02
         180       8.281437e-03       2.830588e-03       5.176396e-03       1.629606e-02       1.065870e-02       1.394030e-02
         190       1.080063e-02       1.779406e-03       5.471512e-03       2.253073e-02       1.209168e-02       1.584012e-02
         200       8.802636e-03       7.022031e-04       4.748521e-03       1.913094e-02       1.217632e-02       1.601336e-02
         210       9.253967e-03       6.284497e-04       5.048824e-03       2.475420e-02       1.276290e-02       1.894220e-02
         220       6.976995e-03       1.078584e-03       3.472127e-03       1.688096e-02       5.290450e-03       1.387513e-02
         230       6.811868e-03       5.395821e-04       3.647662e-03       1.776964e-02       9.908242e-03       1.423432e-02
         240       8.730565e-03       3.330159e-03       5.920486e-03       3.188809e-02       1.106275e-02       2.095345e-02
         250       1.099404e-02       2.874897e-03       6.551804e-03       2.742944e-02       9.323166e-03       1.957419e-02
         260       8.431722e-03       1.456445e-03       4.350070e-03       2.065878e-02       1.017627e-02       1.438465e-02
         270       1.202538e-02       3.007043e-03       6.919823e-03       2.219946e-02       1.161321e-02       1.911155e-02
         280       1.240950e-02       1.364015e-03       5.461635e-03       2.789352e-02       1.339609e-02       1.828100e-02
         290       1.312242e-02       1.808897e-03       5.509610e-03       2.943164e-02       1.980340e-02       2.404675e-02
         300       5.934715e-03       2.714798e-03       4.360223e-03       2.500690e-02       1.084769e-02       1.956734e-02
         310       1.204280e-02       2.785287e-03       6.480318e-03       3.107000e-02       1.284451e-02       2.117082e-02
         320       7.912635e-03       1.534462e-03       5.436490e-03       2.293995e-02       1.287692e-02       1.552511e-02
         330       7.668662e-03       7.510371e-04       3.629076e-03       1.594121e-02       9.046053e-03       1.175469e-02
         340       1.020688e-02       2.106429e-03       5.840940e-03       2.119917e-02       8.402613e-03       1.460758e-02
         350       1.152862e-02       1.816857e-03       5.917521e-03       1.784130e-02       7.693592e-03       1.303058e-02
         360       6.808401e-03       9.956760e-04       3.662241e-03       1.915103e-02       6.291881e-03       1.192817e-02
         370       1.368594e-02       1.707973e-03       6.227642e-03       2.226358e-02       5.904656e-03       1.384832e-02
         380       8.520511e-03       2.256856e-03       4.521518e-03       1.712016e-02       7.405756e-03       1.111686e-02
         390       1.004294e-02       1.258026e-03       4.444252e-03       2.208678e-02       8.323608e-03       1.308267e-02
         400       1.178244e-02       2.927333e-03       5.634605e-03       1.973761e-02       8.027765e-03       1.526816e-02
         410       1.125272e-02       1.579906e-03       6.715123e-03       2.507912e-02       1.185716e-02       1.872840e-02
         420       8.955898e-03       2.749283e-03       5.964252e-03       2.996224e-02       9.072937e-03       1.850532e-02
         430       1.015672e-02       2.320585e-03       6.343630e-03       3.526364e-02       1.421112e-02       2.108583e-02
         440       9.360428e-03       2.831452e-03       6.220872e-03       2.904102e-02       1.039520e-02       1.994228e-02
         450       1.291672e-02       1.335196e-03       6.710399e-03       2.325146e-02       1.799948e-02       1.953436e-02
         460       1.192462e-02       3.535664e-03       7.586150e-03       4.098130e-02       1.284434e-02       2.383520e-02
         470       8.573556e-03       2.294614e-03       5.018948e-03       2.788260e-02       8.778324e-03       1.602073e-02
         480       6.936558e-03       1.080434e-03       3.512345e-03       1.935693e-02       7.196679e-03       1.356978e-02
         490       4.935093e-03       1.950316e-03       3.167583e-03       1.719275e-02       7.211677e-03       1.037587e-02
         500       1.584535e-02       2.743722e-03       6.173035e-03       2.980961e-02       9.363857e-03       1.805252e-02
