#       step         max_devi_v         min_devi_v         avg_devi_v         max_devi_f         min_devi_f         avg_devi_f
           0       1.409082e-02       3.104976e-03       7.584680e-03       2.990673e-02       7.846862e-03       1.691753e-02
          10       2.702783e-02       1.957166e-03       1.190408e-02       3.553761e-02       1.040701e-02       2.557383e-02
          20       2.076146e-02       5.461157e-03       1.043651e-02       4.081746e-02       1.946922e-02       2.595333e-02
          30       2.689602e-02       3.830420e-03       1.197564e-02       3.988348e-02       1.715159e-02       2.790002e-02
          40       1.862336e-02       3.145294e-03       1.210545e-02       4.379429e-02       2.770562e-02       3.514715e-02
          50       2.736139e-02       1.149508e-02       2.114447e-02       7.723611e-02       2.457844e-02       5.484308e-02
          60       4.440664e-02       8.502515e-03       2.317970e-02       1.082321e-01       2.850907e-02       6.609685e-02
          70       3.947902e-02       5.094874e-03       1.990534e-02       9.217340e-02       3.294930e-02       5.889466e-02
          80       3.365025e-02       8.434697e-03       1.732666e-02       1.264057e-01       2.880091e-02       5.989105e-02
          90       1.584420e-02       4.877047e-03       1.177200e-02       4.470286e-02       2.713376e-02       3.574874e-02
         100       1.692799e-02       6.356756e-03       1.143485e-02       4.414109e-02       2.105083e-02       3.372271e-02
         110       1.870459e-02       5.588967e-03       9.984715e-03       4.788048e-02       2.813639e-02       3.585078e-02
         120       1.822596e-02       4.250824e-03       1.191914e-02       5.894228e-02       2.459374e-02       3.577034e-02
         130       3.644869e-02       6.243914e-03       1.528041e-02       6.534041e-02       2.375326e-02       3.837362e-02
         140       3.595270e-02       1.057304e-02       1.876755e-02       8.307914e-02       1.393970e-02       4.619497e-02
         150       3.908039e-02       4.526387e-03       1.832899e-02       6.840048e-02       1.864698e-02       4.315044e-02
         160       4.268996e-02       6.679871e-03       1.969516e-02       8.437917e-02       2.271373e-02       4.747998e-02
         170       2.261498e-02       2.441009e-03       1.266403e-02       5.836893e-02       1.692465e-02       3.949930e-02
         180       3.683552e-02       6.072512e-03       1.609381e-02       7.157647e-02       2.297310e-02       4.116079e-02
         190       2.534191e-02       4.711353e-03       1.098043e-02       4.387898e-02       2.768044e-02       3.353581e-02
         200       1.669149e-02       2.562567e-03       9.577115e-03       1.044418e-01       2.585060e-02       5.568668e-02
         210       2.425382e-02       3.500844e-03       1.396228e-02       1.238333e-01       3.310829e-02       6.804083e-02
         220       1.567578e-02       2.015217e-03       7.561237e-03       7.811315e-02       2.760314e-02       4.492213e-02
         230       3.246039e-02       5.069152e-03       1.921347e-02       8.126763e-02       1.500262e-02       4.365418e-02
         240       5.158029e-02       3.952352e-03       2.353604e-02       8.081363e-02       1.730467e-02       4.798799e-02
         250       2.858751e-02       6.271707e-03       1.381298e-02       1.023279e-01       1.815106e-02       4.995459e-02
         260       2.160969e-02       3.946652e-03       1.105959e-02       5.555299e-02       1.512469e-02       3.431453e-02
         270       2.076361e-02       4.139417e-03       1.172210e-02       6.360139e-02       1.482663e-02       3.738269e-02
         280       1.785980e-02       1.356976e-03       1.081772e-02       6.171596e-02       1.700020e-02       3.852426e-02
         290       2.488653e-02       4.033051e-03       1.231071e-02       6.800186e-02       2.281455e-02       4.157090e-02
         300       4.607317e-02       9.309167e-03       2.030186e-02       6.484675e-02       1.912871e-02       4.411031e-02
         310       6.248505e-02       1.078263e-02       2.547168e-02       9.739707e-02       2.713955e-02       5.559288e-02
         320       5.537503e-02       9.711521e-03       2.259951e-02       9.124699e-02       2.610884e-02       5.032356e-02
         330       4.878557e-02       8.326908e-03       2.080190e-02       5.950696e-02       2.758272e-02       4.520180e-02
         340       3.640754e-02       3.350259e-03       1.538505e-02       5.296158e-02       2.415506e-02       3.676954e-02
         350       2.455991e-02       4.475524e-03       1.074747e-02       5.283946e-02       2.196500e-02       3.734500e-02
         360       2.066428e-02       3.140955e-03       1.050844e-02       4.289742e-02       1.881586e-02       3.255782e-02
         370       1.365268e-02       4.214810e-03       9.873840e-03       6.498205e-02       1.105538e-02       3.504917e-02
         380       1.489495e-02       3.739071e-03       8.531698e-03       3.883556e-02       1.285606e-02       2.928311e-02
         390       2.366132e-02       3.971728e-03       1.091462e-02       6.400243e-02       1.984817e-02       3.758875e-02
         400       1.589634e-02       5.651902e-03       9.104426e-03       6.466766e-02       3.046217e-02       4.164082e-02
         410       1.484440e-02       9.752476e-03       1.210046e-02       5.694021e-02       1.739236e-02       4.051129e-02
         420       2.095009e-02       8.339181e-03       1.341233e-02       6.043163e-02       1.700766e-02       4.361889e-02
         430       2.692463e-02       3.318485e-03       2.031083e-02       8.068632e-02       1.399456e-02       5.333495e-02
         440       1.796209e-02       5.094636e-03       1.091985e-02       8.358845e-02       1.512627e-02       4.690959e-02
         450       2.180153e-02       8.126525e-03       1.351521e-02       7.325152e-02       1.383588e-02       4.288626e-02
         460       3.038008e-02       4.977259e-03       1.383889e-02       6.833515e-02       2.366141e-02       3.925043e-02
         470       3.288320e-02       8.327727e-03       1.670376e-02       5.633093e-02       2.680111e-02       3.736990e-02
         480       3.772836e-02       9.976690e-03       1.685151e-02       6.490763e-02       2.488451e-02       4.043227e-02
         490       3.795018e-02       4.576329e-03       1.428485e-02       5.808674e-02       1.999637e-02       4.093324e-02
         500       1.922959e-02       2.883660e-03       9.655407e-03       5.713597e-02       1.234772e-02       3.678042e-02
         510       3.048666e-02       2.222601e-03       1.238620e-02       9.487907e-02       1.722227e-02       4.290564e-02
         520       4.339144e-02       6.168398e-03       1.783648e-02       7.768904e-02       2.426783e-02       4.522480e-02
         530       1.961890e-02       4.521885e-03       1.078030e-02       7.681099e-02       1.560211e-02       4.704354e-02
         540       1.971184e-02       6.941425e-03       1.278669e-02       7.539613e-02       9.251552e-03       4.762982e-02
         550       2.262940e-02       6.027361e-03       1.610043e-02       7.769058e-02       2.254549e-02       4.858892e-02
         560       1.606034e-02       4.151310e-03       1.010477e-02       6.868713e-02       3.259718e-02       4.592039e-02
         570       2.305536e-02       5.756779e-03       1.348506e-02       6.783413e-02       2.565673e-02       4.582840e-02
         580       2.177330e-02       4.262516e-03       1.059717e-02       5.298019e-02       1.749848e-02       3.455046e-02
         590       3.103556e-02       2.956908e-03       1.710478e-02       5.643974e-02       1.840485e-02       4.047652e-02
         600       1.950500e-02       2.409376e-03       1.196001e-02       5.406729e-02       2.122988e-02       3.467676e-02
         610       2.143575e-02       2.507147e-03       1.104417e-02       4.551414e-02       2.169624e-02       3.135375e-02
         620       2.302524e-02       3.947074e-03       1.084808e-02       5.955185e-02       2.144353e-02       3.930724e-02
         630       5.012466e-02       8.003300e-03       2.173453e-02       8.219557e-02       3.683951e-02       5.665783e-02
         640       3.703236e-02       7.666617e-03       1.756115e-02       8.308679e-02       2.686062e-02       5.002633e-02
         650       3.092063e-02       4.478622e-03       1.390711e-02       9.314645e-02       2.013250e-02       4.700521e-02
         660       2.463766e-02       7.919675e-03       1.344385e-02       8.059859e-02       2.390186e-02       4.344179e-02
         670       2.150962e-02       4.736630e-03       1.325012e-02       5.843358e-02       2.534173e-02       3.882414e-02
         680       2.376628e-02       5.508604e-03       1.511414e-02       8.623038e-02       7.222098e-03       5.350272e-02
         690       2.674351e-02       2.676579e-03       1.582309e-02       7.122067e-02       1.435680e-02       3.953626e-02
         700       3.085410e-02       4.906908e-03       1.463299e-02       4.072322e-02       1.671716e-02       3.311903e-02
         710       3.048004e-02       2.757082e-03       1.416018e-02       5.047331e-02       2.685217e-02       3.846247e-02
         720       3.689161e-02       4.749373e-03       1.786235e-02       7.448734e-02       1.802143e-02       3.917037e-02
         730       3.128556e-02       5.881151e-03       1.791839e-02       5.909551e-02       2.953042e-02       4.723128e-02
         740       2.213324e-02       4.404203e-03       1.252526e-02       7.253622e-02       1.954752e-02       3.970958e-02
         750       3.312980e-02       6.071525e-03       1.484696e-02       5.696618e-02       1.695699e-02       3.621533e-02
         760       2.484888e-02       7.062181e-03       1.495362e-02       6.446407e-02       2.931195e-02       4.441346e-02
         770       3.085336e-02       6.245492e-03       1.727725e-02       5.906893e-02       2.430053e-02       4.665743e-02
         780       3.966023e-02       3.813865e-03       2.010580e-02       8.612916e-02       2.917378e-02       5.318543e-02
         790       3.409758e-02       2.065491e-03       1.668551e-02       7.304724e-02       1.920473e-02       4.349542e-02
         800       3.319490e-02       2.777206e-03       1.392843e-02       6.564460e-02       2.284277e-02       4.260499e-02
         810       3.107804e-02       2.914035e-03       1.388678e-02       6.446765e-02       1.073375e-02       4.065089e-02
         820       3.201410e-02       7.057876e-03       1.599099e-02       6.546423e-02       3.212900e-02       4.744280e-02
         830       4.127651e-02       6.239169e-03       1.799832e-02       6.766504e-02       3.909931e-02       5.160615e-02
         840       3.331701e-02       7.795414e-03       1.857056e-02       9.027369e-02       2.632742e-02       4.803787e-02
         850       3.635311e-02       2.159936e-03       1.744663e-02       1.113391e-01       2.838560e-02       5.257184e-02
         860       2.628076e-02       8.404903e-03       1.450146e-02       4.939995e-02       3.365712e-02       4.173061e-02
         870       2.142207e-02       7.882354e-03       1.395346e-02       5.806604e-02       3.017536e-02       3.925651e-02
         880       2.268900e-02       4.250136e-03       1.441490e-02       7.679170e-02       2.265800e-02       4.713135e-02
         890       3.014987e-02       8.520992e-03       2.048714e-02       1.006617e-01       2.324012e-02       5.843457e-02
         900       3.737131e-02       1.232783e-02       2.281384e-02       1.041347e-01       1.891798e-02       6.156191e-02
         910       2.678893e-02       8.684333e-03       1.580718e-02       9.800245e-02       1.773821e-02       5.106699e-02
         920       2.985157e-02       9.390228e-03       1.818598e-02       1.061964e-01       1.369398e-02       5.008170e-02
         930       2.690294e-02       1.172123e-02       1.535043e-02       8.445645e-02       1.617110e-02       4.574458e-02
         940       5.563357e-02       8.729857e-03       2.255142e-02       9.528813e-02       3.116434e-02       6.576603e-02
         950       3.989744e-02       4.422483e-03       1.752894e-02       9.401770e-02       2.717116e-02       6.066330e-02
         960       3.877266e-02       8.692591e-03       1.705347e-02       7.182283e-02       2.761176e-02       5.201523e-02
         970       4.336394e-02       3.472614e-03       1.670149e-02       7.385855e-02       2.886273e-02       4.832760e-02
         980       2.852858e-02       6.179770e-03       1.419573e-02       7.700066e-02       2.183918e-02       4.903733e-02
         990       9.712716e-03       3.860679e-03       7.209971e-03       4.969405e-02       1.642864e-02       3.361381e-02
        1000       1.373278e-02       4.410125e-03       8.355211e-03       4.997839e-02       1.662707e-02       2.922894e-02
        1010       1.597812e-02       4.214446e-03       7.732660e-03       6.440513e-02       1.860347e-02       3.847395e-02
        1020       5.426550e-02       7.096604e-03       2.222029e-02       7.345350e-02       1.554164e-02       4.533873e-02
        1030       4.664952e-02       3.872669e-03       1.778329e-02       7.412890e-02       1.354210e-02       4.136015e-02
        1040       4.554130e-02       3.100766e-03       1.654879e-02       5.595233e-02       1.954861e-02       3.307872e-02
        1050       2.866503e-02       6.910857e-03       1.375206e-02       7.704046e-02       1.951358e-02       4.499193e-02
