#  step      rmse_trn    rmse_e_trn    rmse_f_trn         lr
      0      3.64e+00      1.19e+00      1.14e-01    1.0e-03
    100      3.31e+00      9.77e-01      1.04e-01    1.0e-03
    200      4.54e+00      1.04e+00      1.43e-01    1.0e-03
    300      3.89e+00      6.89e-01      1.23e-01    1.0e-03
    400      2.21e+00      6.82e-01      6.95e-02    1.0e-03
    500      2.52e+00      4.95e-01      7.95e-02    1.0e-03
    600      2.22e+00      4.35e-01      6.99e-02    1.0e-03
    700      3.26e+00      3.21e-01      1.03e-01    1.0e-03
    800      1.80e+00      3.44e-01      5.66e-02    1.0e-03
    900      1.86e+00      1.83e-01      5.89e-02    1.0e-03
   1000      1.50e+00      1.61e-01      4.75e-02    1.0e-03
   1100      1.69e+00      9.12e-02      5.33e-02    1.0e-03
   1200      9.55e+00      6.89e-02      3.02e-01    1.0e-03
   1300      1.52e+00      1.93e-01      4.81e-02    1.0e-03
   1400      2.19e+00      1.48e-01      6.94e-02    1.0e-03
   1500      1.97e+00      9.96e-02      6.22e-02    1.0e-03
   1600      1.90e+00      1.06e-01      6.01e-02    1.0e-03
   1700      1.58e+00      1.71e-01      4.98e-02    1.0e-03
   1800      1.61e+00      1.18e-01      5.10e-02    1.0e-03
   1900      1.91e+00      1.36e-01      6.03e-02    1.0e-03
   2000      2.08e+00      4.51e-02      6.58e-02    1.0e-03
   2100      1.78e+00      6.16e-02      5.63e-02    1.0e-03
   2200      4.51e+00      1.82e-01      1.43e-01    1.0e-03
   2300      1.41e+00      1.31e-01      4.45e-02    1.0e-03
   2400      1.32e+00      9.70e-02      4.16e-02    1.0e-03
   2500      2.39e+00      7.77e-02      7.56e-02    1.0e-03
   2600      2.40e+00      1.83e-02      7.59e-02    1.0e-03
   2700      2.02e+00      7.74e-02      6.38e-02    1.0e-03
   2800      1.82e+00      3.74e-02      5.76e-02    1.0e-03
   2900      2.08e+00      3.55e-02      6.57e-02    1.0e-03
   3000      1.67e+00      3.86e-02      5.27e-02    1.0e-03
   3100      2.50e+00      4.87e-02      7.90e-02    1.0e-03
   3200      2.02e+00      1.72e-02      6.39e-02    1.0e-03
   3300      1.59e+00      2.66e-02      5.02e-02    1.0e-03
   3400      2.01e+00      1.77e-02      6.35e-02    1.0e-03
   3500      2.08e+00      5.91e-02      6.57e-02    1.0e-03
   3600      2.17e+00      3.34e-02      6.86e-02    1.0e-03
   3700      1.27e+00      2.52e-02      4.03e-02    1.0e-03
   3800      1.49e+00      4.54e-02      4.73e-02    1.0e-03
   3900      1.75e+00      3.41e-02      5.54e-02    1.0e-03
   4000      3.02e+00      4.23e-02      9.54e-02    1.0e-03
   4100      4.93e+00      2.13e-01      1.56e-01    1.0e-03
   4200      1.49e+00      9.64e-02      4.73e-02    1.0e-03
   4300      2.46e+00      1.45e-01      7.77e-02    1.0e-03
   4400      1.59e+00      6.61e-02      5.04e-02    1.0e-03
   4500      1.51e+00      2.48e-02      4.78e-02    1.0e-03
   4600      1.35e+00      3.60e-02      4.26e-02    1.0e-03
   4700      2.49e+00      4.59e-02      7.87e-02    1.0e-03
   4800      1.89e+00      1.48e-02      5.97e-02    1.0e-03
   4900      1.67e+00      1.83e-02      5.29e-02    1.0e-03
   5000      1.36e+00      2.41e-02      4.41e-02    9.4e-04
   5100      2.24e+00      4.22e-02      7.30e-02    9.4e-04
   5200      1.33e+00      1.11e-02      4.33e-02    9.4e-04
   5300      1.91e+00      5.89e-02      6.21e-02    9.4e-04
   5400      1.77e+00      4.62e-02      5.77e-02    9.4e-04
   5500      1.92e+00      1.99e-02      6.26e-02    9.4e-04
   5600      1.29e+00      2.26e-02      4.19e-02    9.4e-04
   5700      1.57e+00      2.80e-02      5.11e-02    9.4e-04
   5800      1.67e+00      1.62e-02      5.42e-02    9.4e-04
   5900      1.91e+00      6.21e-02      6.21e-02    9.4e-04
   6000      1.67e+00      9.67e-03      5.43e-02    9.4e-04
   6100      1.68e+00      2.36e-02      5.45e-02    9.4e-04
   6200      1.97e+00      3.70e-02      6.41e-02    9.4e-04
   6300      1.66e+00      1.08e-02      5.40e-02    9.4e-04
   6400      1.27e+00      2.48e-02      4.14e-02    9.4e-04
   6500      1.45e+00      2.67e-02      4.73e-02    9.4e-04
   6600      1.64e+00      3.59e-02      5.32e-02    9.4e-04
   6700      1.44e+00      3.38e-02      4.68e-02    9.4e-04
   6800      1.81e+00      3.20e-02      5.89e-02    9.4e-04
   6900      2.42e+00      4.55e-02      7.89e-02    9.4e-04
   7000      1.64e+00      2.48e-02      5.32e-02    9.4e-04
   7100      3.08e+00      7.45e-02      1.00e-01    9.4e-04
   7200      2.40e+00      2.77e-02      7.81e-02    9.4e-04
   7300      1.39e+00      2.85e-02      4.54e-02    9.4e-04
   7400      2.25e+00      2.51e-02      7.33e-02    9.4e-04
   7500      1.72e+00      7.87e-02      5.60e-02    9.4e-04
   7600      1.45e+00      1.13e-02      4.71e-02    9.4e-04
   7700      2.30e+00      1.59e-02      7.48e-02    9.4e-04
   7800      1.93e+00      4.43e-02      6.27e-02    9.4e-04
   7900      1.58e+00      3.02e-02      5.16e-02    9.4e-04
   8000      1.49e+00      3.44e-02      4.84e-02    9.4e-04
   8100      1.53e+00      4.21e-02      4.98e-02    9.4e-04
   8200      1.62e+00      7.60e-02      5.27e-02    9.4e-04
   8300      2.76e+00      6.01e-02      8.97e-02    9.4e-04
   8400      1.79e+00      3.13e-02      5.82e-02    9.4e-04
   8500      1.30e+00      5.34e-02      4.22e-02    9.4e-04
   8600      1.49e+00      6.18e-02      4.84e-02    9.4e-04
   8700      1.61e+00      1.56e-01      5.21e-02    9.4e-04
   8800      2.73e+00      2.87e-02      8.90e-02    9.4e-04
   8900      1.40e+00      1.80e-02      4.55e-02    9.4e-04
   9000      1.40e+00      2.79e-02      4.57e-02    9.4e-04
   9100      2.55e+00      3.68e-02      8.30e-02    9.4e-04
   9200      1.60e+00      7.73e-02      5.22e-02    9.4e-04
   9300      2.83e+00      1.03e-01      9.20e-02    9.4e-04
   9400      1.64e+00      2.74e-02      5.34e-02    9.4e-04
   9500      8.12e+00      1.49e-01      2.64e-01    9.4e-04
   9600      1.38e+00      1.50e-01      4.48e-02    9.4e-04
   9700      1.99e+00      1.03e-01      6.48e-02    9.4e-04
   9800      2.16e+00      1.05e-01      7.03e-02    9.4e-04
   9900      1.50e+00      7.24e-02      4.86e-02    9.4e-04
  10000      1.22e+00      1.53e-02      4.09e-02    8.9e-04
  10100      2.28e+00      1.03e-02      7.65e-02    8.9e-04
  10200      1.36e+00      3.81e-02      4.56e-02    8.9e-04
  10300      1.34e+00      4.09e-02      4.47e-02    8.9e-04
  10400      1.84e+00      1.72e-01      6.14e-02    8.9e-04
  10500      2.20e+00      4.20e-02      7.37e-02    8.9e-04
  10600      2.14e+00      6.64e-02      7.16e-02    8.9e-04
  10700      1.58e+00      2.24e-02      5.31e-02    8.9e-04
  10800      1.47e+00      4.76e-02      4.91e-02    8.9e-04
  10900      1.81e+00      3.80e-02      6.08e-02    8.9e-04
  11000      1.37e+00      3.32e-02      4.57e-02    8.9e-04
  11100      1.70e+00      8.61e-03      5.68e-02    8.9e-04
  11200      1.23e+00      8.54e-03      4.12e-02    8.9e-04
  11300      2.31e+00      2.65e-02      7.75e-02    8.9e-04
  11400      3.65e+00      6.57e-02      1.22e-01    8.9e-04
  11500      1.63e+00      1.20e-01      5.44e-02    8.9e-04
  11600      1.67e+00      8.97e-02      5.60e-02    8.9e-04
  11700      1.56e+00      3.67e-02      5.22e-02    8.9e-04
  11800      1.49e+00      1.21e-01      4.97e-02    8.9e-04
  11900      1.22e+00      1.21e-01      4.07e-02    8.9e-04
  12000      1.10e+00      3.93e-02      3.70e-02    8.9e-04
  12100      2.58e+00      7.15e-02      8.65e-02    8.9e-04
  12200      1.30e+00      4.97e-02      4.34e-02    8.9e-04
  12300      2.48e+00      6.99e-02      8.31e-02    8.9e-04
  12400      1.67e+00      4.00e-02      5.58e-02    8.9e-04
  12500      2.83e+00      6.63e-02      9.48e-02    8.9e-04
  12600      2.20e+00      8.59e-02      7.35e-02    8.9e-04
  12700      1.81e+00      2.02e-01      6.04e-02    8.9e-04
  12800      2.27e+00      3.21e-02      7.60e-02    8.9e-04
  12900      1.99e+00      7.10e-02      6.66e-02    8.9e-04
  13000      2.05e+00      6.61e-02      6.85e-02    8.9e-04
  13100      1.96e+00      7.25e-02      6.56e-02    8.9e-04
  13200      1.36e+00      1.23e-01      4.54e-02    8.9e-04
  13300      1.01e+00      9.32e-02      3.39e-02    8.9e-04
  13400      1.32e+00      9.31e-02      4.40e-02    8.9e-04
  13500      1.52e+00      1.36e-02      5.10e-02    8.9e-04
  13600      1.46e+00      5.91e-02      4.89e-02    8.9e-04
  13700      1.34e+00      5.59e-02      4.49e-02    8.9e-04
  13800      1.12e+00      1.59e-01      3.72e-02    8.9e-04
  13900      1.70e+00      2.55e-02      5.70e-02    8.9e-04
  14000      1.60e+00      7.36e-02      5.36e-02    8.9e-04
  14100      1.78e+00      2.40e-01      5.92e-02    8.9e-04
  14200      1.40e+00      6.06e-02      4.70e-02    8.9e-04
  14300      1.87e+00      3.42e-02      6.25e-02    8.9e-04
  14400      1.54e+00      3.58e-02      5.15e-02    8.9e-04
  14500      2.20e+00      2.03e-02      7.36e-02    8.9e-04
  14600      1.38e+00      1.10e-01      4.63e-02    8.9e-04
  14700      1.58e+00      7.36e-02      5.28e-02    8.9e-04
  14800      1.60e+00      1.13e-01      5.33e-02    8.9e-04
  14900      1.45e+00      6.19e-02      4.84e-02    8.9e-04
  15000      1.83e+00      1.44e-01      6.30e-02    8.4e-04
  15100      1.72e+00      8.48e-03      5.93e-02    8.4e-04
  15200      2.04e+00      2.75e-02      7.03e-02    8.4e-04
  15300      1.23e+00      8.45e-03      4.25e-02    8.4e-04
  15400      2.05e+00      4.11e-02      7.08e-02    8.4e-04
  15500      1.16e+00      1.59e-02      3.99e-02    8.4e-04
  15600      1.19e+00      6.98e-02      4.10e-02    8.4e-04
  15700      1.06e+00      5.45e-02      3.64e-02    8.4e-04
  15800      1.43e+00      2.91e-02      4.91e-02    8.4e-04
  15900      1.62e+00      3.73e-02      5.57e-02    8.4e-04
  16000      1.06e+00      6.81e-02      3.65e-02    8.4e-04
  16100      1.22e+00      6.33e-02      4.20e-02    8.4e-04
  16200      1.13e+00      1.17e-01      3.88e-02    8.4e-04
  16300      1.98e+00      5.37e-02      6.83e-02    8.4e-04
  16400      1.26e+00      9.23e-02      4.31e-02    8.4e-04
  16500      2.20e+00      2.31e-02      7.60e-02    8.4e-04
  16600      1.16e+00      8.05e-02      3.99e-02    8.4e-04
  16700      2.90e+00      7.27e-02      1.00e-01    8.4e-04
  16800      1.06e+00      9.30e-02      3.63e-02    8.4e-04
  16900      1.51e+00      1.00e-01      5.20e-02    8.4e-04
  17000      1.15e+00      1.83e-01      3.90e-02    8.4e-04
  17100      1.33e+00      1.14e-02      4.57e-02    8.4e-04
  17200      1.74e+00      1.10e-02      6.01e-02    8.4e-04
  17300      1.64e+00      7.19e-02      5.63e-02    8.4e-04
  17400      1.39e+00      1.23e-02      4.80e-02    8.4e-04
  17500      2.37e+00      2.39e-01      8.10e-02    8.4e-04
  17600      1.39e+00      4.93e-02      4.79e-02    8.4e-04
  17700      1.18e+00      1.21e-02      4.06e-02    8.4e-04
  17800      1.50e+00      4.01e-02      5.16e-02    8.4e-04
  17900      2.22e+00      4.41e-02      7.65e-02    8.4e-04
  18000      1.54e+00      4.29e-02      5.31e-02    8.4e-04
  18100      1.97e+00      4.43e-02      6.79e-02    8.4e-04
  18200      1.25e+00      1.20e-02      4.30e-02    8.4e-04
  18300      1.45e+00      3.18e-02      4.99e-02    8.4e-04
  18400      1.61e+00      4.89e-02      5.55e-02    8.4e-04
  18500      1.14e+00      7.00e-02      3.92e-02    8.4e-04
  18600      2.02e+00      1.89e-02      6.96e-02    8.4e-04
  18700      1.42e+00      9.30e-02      4.90e-02    8.4e-04
  18800      1.59e+00      7.86e-02      5.49e-02    8.4e-04
  18900      1.46e+00      8.16e-02      5.04e-02    8.4e-04
  19000      2.29e+00      2.96e-02      7.88e-02    8.4e-04
  19100      1.81e+00      1.94e-01      6.18e-02    8.4e-04
  19200      1.35e+00      1.23e-02      4.65e-02    8.4e-04
  19300      1.69e+00      6.16e-02      5.82e-02    8.4e-04
  19400      1.35e+00      1.82e-02      4.65e-02    8.4e-04
  19500      2.58e+00      4.05e-02      8.90e-02    8.4e-04
  19600      1.24e+00      1.39e-02      4.27e-02    8.4e-04
  19700      1.18e+00      1.28e-02      4.07e-02    8.4e-04
  19800      1.29e+00      2.71e-02      4.44e-02    8.4e-04
  19900      2.00e+00      2.82e-02      6.90e-02    8.4e-04
  20000      1.27e+00      8.90e-02      4.50e-02    7.9e-04
  20100      1.93e+00      5.03e-02      6.83e-02    7.9e-04
  20200      2.00e+00      4.31e-02      7.09e-02    7.9e-04
  20300      1.28e+00      2.92e-02      4.53e-02    7.9e-04
  20400      1.51e+00      1.51e-02      5.34e-02    7.9e-04
  20500      1.33e+00      4.62e-02      4.73e-02    7.9e-04
  20600      9.42e-01      1.89e-02      3.34e-02    7.9e-04
  20700      1.45e+00      8.63e-02      5.13e-02    7.9e-04
  20800      1.84e+00      3.60e-02      6.54e-02    7.9e-04
  20900      1.55e+00      3.90e-02      5.49e-02    7.9e-04
  21000      1.97e+00      3.72e-02      6.98e-02    7.9e-04
  21100      1.17e+00      1.56e-02      4.16e-02    7.9e-04
  21200      1.42e+00      2.72e-02      5.04e-02    7.9e-04
  21300      1.57e+00      3.08e-02      5.58e-02    7.9e-04
  21400      8.61e-01      7.89e-02      3.04e-02    7.9e-04
  21500      1.37e+00      1.75e-02      4.85e-02    7.9e-04
  21600      2.12e+00      1.26e-01      7.50e-02    7.9e-04
  21700      1.68e+00      3.47e-02      5.97e-02    7.9e-04
  21800      1.61e+00      2.53e-02      5.70e-02    7.9e-04
  21900      1.63e+00      2.01e-02      5.77e-02    7.9e-04
  22000      1.12e+00      4.83e-03      3.97e-02    7.9e-04
  22100      9.66e-01      2.67e-02      3.42e-02    7.9e-04
  22200      1.20e+00      1.34e-02      4.26e-02    7.9e-04
  22300      2.18e+00      5.86e-02      7.75e-02    7.9e-04
  22400      1.48e+00      4.56e-02      5.24e-02    7.9e-04
  22500      1.90e+00      3.74e-02      6.72e-02    7.9e-04
  22600      1.47e+00      3.38e-02      5.20e-02    7.9e-04
  22700      1.54e+00      1.54e-02      5.46e-02    7.9e-04
  22800      1.28e+00      4.60e-02      4.55e-02    7.9e-04
  22900      1.77e+00      9.83e-02      6.27e-02    7.9e-04
  23000      1.10e+00      2.28e-02      3.91e-02    7.9e-04
  23100      2.07e+00      4.46e-02      7.33e-02    7.9e-04
  23200      1.25e+00      3.63e-02      4.44e-02    7.9e-04
  23300      1.39e+00      6.80e-02      4.93e-02    7.9e-04
  23400      1.48e+00      5.59e-02      5.25e-02    7.9e-04
  23500      1.25e+00      5.68e-02      4.44e-02    7.9e-04
  23600      1.13e+00      5.09e-02      3.99e-02    7.9e-04
  23700      1.17e+00      2.39e-02      4.15e-02    7.9e-04
  23800      1.29e+00      1.36e-02      4.59e-02    7.9e-04
  23900      1.21e+00      4.87e-02      4.29e-02    7.9e-04
  24000      1.33e+00      4.71e-02      4.73e-02    7.9e-04
  24100      1.56e+00      2.62e-02      5.55e-02    7.9e-04
  24200      1.50e+00      1.15e-01      5.31e-02    7.9e-04
  24300      1.83e+00      5.88e-02      6.48e-02    7.9e-04
  24400      1.28e+00      7.15e-03      4.54e-02    7.9e-04
  24500      1.04e+00      8.62e-03      3.69e-02    7.9e-04
  24600      1.44e+00      1.55e-02      5.12e-02    7.9e-04
  24700      2.20e+00      5.28e-02      7.81e-02    7.9e-04
  24800      9.84e-01      1.12e-02      3.49e-02    7.9e-04
  24900      1.60e+00      2.91e-02      5.66e-02    7.9e-04
  25000      1.56e+00      3.34e-02      5.70e-02    7.5e-04
  25100      1.71e+00      2.73e-02      6.24e-02    7.5e-04
  25200      1.19e+00      2.68e-02      4.35e-02    7.5e-04
  25300      1.58e+00      2.71e-02      5.78e-02    7.5e-04
  25400      1.67e+00      2.39e-02      6.11e-02    7.5e-04
  25500      1.17e+00      2.39e-02      4.27e-02    7.5e-04
  25600      1.33e+00      2.20e-02      4.84e-02    7.5e-04
  25700      1.03e+00      2.53e-02      3.77e-02    7.5e-04
  25800      1.57e+00      8.93e-03      5.73e-02    7.5e-04
  25900      1.66e+00      1.44e-02      6.08e-02    7.5e-04
  26000      1.09e+00      1.37e-02      3.97e-02    7.5e-04
  26100      1.29e+00      4.51e-02      4.70e-02    7.5e-04
